endpoint,error,height,operand1,operand2,operation,problemType,result,rt,subject_nr,width
0.766369047619,-8.23363095238,1050,5,4,+,filler,9,1533,121,1680
3.22916666667,-0.770833333333,1050,8,4,-,filler,4,1469,121,1680
6.86011904762,-0.139880952381,1050,7,0,+,target,7,1621,121,1680
1.62202380952,-0.377976190476,1050,2,0,+,target,2,1398,121,1680
3.32589285714,-0.674107142857,1050,7,3,-,filler,4,2356,121,1680
2.60416666667,-0.395833333333,1050,3,0,-,target,3,1477,121,1680
6.22023809524,0.220238095238,1050,6,0,+,target,6,1557,121,1680
6.07142857143,0.0714285714286,1050,5,1,+,target,6,1245,121,1680
7.65625,-0.34375,1050,8,0,-,target,8,1429,121,1680
6.10119047619,0.10119047619,1050,7,1,-,target,6,1093,121,1680
0.877976190476,-0.122023809524,1050,5,4,-,filler,1,3165,121,1680
6.6369047619,-1.3630952381,1050,3,5,+,filler,8,2117,121,1680
3.40773809524,-0.592261904762,1050,6,2,-,target,4,1796,121,1680
0.744047619048,-0.255952380952,1050,5,4,-,filler,1,1477,121,1680
6.23511904762,0.235119047619,1050,6,0,+,target,6,1637,121,1680
7.08333333333,0.0833333333333,1050,7,0,-,target,7,1453,121,1680
5.02976190476,-2.97023809524,1050,4,4,+,filler,8,293,121,1680
6.20535714286,0.205357142857,1050,6,0,-,target,6,2373,121,1680
7.61904761905,-0.380952380952,1050,8,0,-,target,8,2021,121,1680
7.44047619048,-0.559523809524,1050,3,5,+,filler,8,1765,121,1680
7.5,-0.5,1050,8,0,+,target,8,1213,121,1680
2.24702380952,-0.752976190476,1050,3,0,+,target,3,3613,121,1680
1.26488095238,-0.735119047619,1050,7,5,-,filler,2,2517,121,1680
2.08333333333,-0.916666666667,1050,8,5,-,filler,3,3717,121,1680
3.08779761905,-0.912202380952,1050,3,1,+,target,4,1326,121,1680
7.1875,0.1875,1050,7,0,+,target,7,3133,121,1680
3.0505952381,-0.949404761905,1050,2,2,+,target,4,2125,121,1680
1.9568452381,-1.0431547619,1050,3,0,+,target,3,1134,121,1680
3.6755952381,-0.324404761905,1050,3,1,+,target,4,1253,121,1680
6.26488095238,0.264880952381,1050,3,3,+,filler,6,1363,121,1680
7.45535714286,0.455357142857,1050,3,4,+,filler,7,2421,121,1680
5.88541666667,-0.114583333333,1050,8,2,-,target,6,1901,121,1680
6.71130952381,-0.28869047619,1050,7,0,-,target,7,1533,121,1680
1.05654761905,-0.943452380952,1050,2,0,-,target,2,1677,121,1680
6.30208333333,0.302083333333,1050,2,4,+,filler,6,1581,121,1680
6.51785714286,0.517857142857,1050,4,2,+,target,6,1022,121,1680
3.33333333333,-0.666666666667,1050,4,0,+,target,4,3773,121,1680
3.27380952381,-0.72619047619,1050,7,3,-,filler,4,1621,121,1680
3.30357142857,-0.696428571429,1050,2,2,+,target,4,1365,121,1680
6.53273809524,0.532738095238,1050,4,2,+,target,6,3149,121,1680
2.47023809524,-0.529761904762,1050,3,0,-,target,3,3581,121,1680
1.36904761905,-0.630952380952,1050,6,4,-,filler,2,2157,121,1680
3.15476190476,-0.845238095238,1050,5,1,-,target,4,2661,121,1680
1.86011904762,-1.13988095238,1050,8,5,-,filler,3,1597,121,1680
5.91517857143,-0.0848214285714,1050,7,1,-,target,6,1445,121,1680
6.05654761905,0.0565476190476,1050,8,2,-,target,6,1661,121,1680
1.88988095238,-1.11011904762,1050,7,4,-,filler,3,2269,121,1680
0.625,-0.375,1050,6,5,-,filler,1,1844,121,1680
3.66071428571,-0.339285714286,1050,4,0,-,target,4,1653,121,1680
6.96428571429,-0.0357142857143,1050,2,5,+,filler,7,1885,121,1680
0.9375,-1.0625,1050,2,0,+,target,2,1349,121,1680
6.13095238095,0.130952380952,1050,2,4,+,filler,6,1885,121,1680
9.03273809524,0.0327380952381,1050,4,5,+,filler,9,1469,121,1680
5.95238095238,-0.047619047619,1050,3,3,+,filler,6,3276,121,1680
3.79464285714,-0.205357142857,1050,6,2,-,target,4,3406,121,1680
0.997023809524,-1.00297619048,1050,2,0,-,target,2,2158,121,1680
9.1443452381,0.144345238095,1050,4,5,+,filler,9,1477,121,1680
3.22916666667,-0.770833333333,1050,5,1,-,target,4,1397,121,1680
6.6369047619,-0.363095238095,1050,2,5,+,filler,7,2222,121,1680
1.9494047619,-1.0505952381,1050,7,4,-,filler,3,2573,121,1680
0.744047619048,-0.255952380952,1050,6,5,-,filler,1,2436,121,1680
6.8005952381,-1.1994047619,1050,8,0,+,target,8,1925,121,1680
3.6755952381,-0.324404761905,1050,8,4,-,filler,4,2582,121,1680
6.14583333333,0.145833333333,1050,6,0,-,target,6,2141,121,1680
3.89880952381,-0.10119047619,1050,4,0,+,target,4,2037,121,1680
1.39880952381,-0.60119047619,1050,6,4,-,filler,2,3052,121,1680
8.6681547619,-0.331845238095,1050,5,4,+,filler,9,1773,121,1680
7.24702380952,-0.752976190476,1050,4,4,+,filler,8,1829,121,1680
1.4880952381,-0.511904761905,1050,7,5,-,filler,2,1949,121,1680
3.74255952381,-0.25744047619,1050,4,0,-,target,4,2622,121,1680
6.1755952381,0.175595238095,1050,5,1,+,target,6,1629,121,1680
7.64880952381,0.64880952381,1050,3,4,+,filler,7,1645,121,1680
7.75297619048,0.752976190476,1050,3,4,+,filler,7,1069,121,1680
1.39880952381,-0.60119047619,1050,7,5,-,filler,2,2565,121,1680
6.10863095238,0.108630952381,1050,7,1,-,target,6,2109,121,1680
0.892857142857,-1.10714285714,1050,7,5,-,filler,2,3364,121,1680
6.5625,-0.4375,1050,7,0,+,target,7,1973,121,1680
0.803571428571,-0.196428571429,1050,6,5,-,filler,1,1965,121,1680
2.98363095238,-0.016369047619,1050,3,0,+,target,3,1221,121,1680
9.02529761905,0.0252976190476,1050,4,5,+,filler,9,1565,121,1680
7.63392857143,-0.366071428571,1050,8,0,+,target,8,5445,121,1680
5.9375,-0.0625,1050,6,0,-,target,6,1340,121,1680
6.41369047619,0.41369047619,1050,7,1,-,target,6,1636,121,1680
3.49702380952,-0.502976190476,1050,7,3,-,filler,4,2261,121,1680
7.38095238095,-0.619047619048,1050,3,5,+,filler,8,1997,121,1680
3.49702380952,-0.502976190476,1050,5,1,-,target,4,1533,121,1680
9.02529761905,0.0252976190476,1050,4,5,+,filler,9,1349,121,1680
7.75297619048,-0.247023809524,1050,8,0,-,target,8,2045,121,1680
1.30952380952,-0.690476190476,1050,2,0,-,target,2,1565,121,1680
8.28869047619,0.28869047619,1050,4,4,+,filler,8,2101,121,1680
6.36904761905,0.369047619048,1050,2,4,+,filler,6,1829,121,1680
6.42857142857,0.428571428571,1050,5,1,+,target,6,933,121,1680
6.71130952381,-0.28869047619,1050,3,4,+,filler,7,3957,121,1680
3.39285714286,-0.607142857143,1050,8,4,-,filler,4,2742,121,1680
1.57738095238,-0.422619047619,1050,6,4,-,filler,2,3013,121,1680
3.80952380952,-0.190476190476,1050,5,1,-,target,4,2206,121,1680
9.19642857143,0.196428571429,1050,5,4,+,filler,9,1333,121,1680
3.31845238095,-0.681547619048,1050,4,0,+,target,4,1780,121,1680
6.26488095238,0.264880952381,1050,8,2,-,target,6,1525,121,1680
7.05357142857,0.0535714285714,1050,2,5,+,filler,7,2029,121,1680
7.54464285714,-0.455357142857,1050,8,0,-,target,8,1877,121,1680
2.78273809524,-0.217261904762,1050,7,4,-,filler,3,2485,121,1680
6.27232142857,0.272321428571,1050,2,4,+,filler,6,1389,121,1680
7.51488095238,-0.485119047619,1050,4,4,+,filler,8,2102,121,1680
7.63392857143,-0.366071428571,1050,8,0,+,target,8,1221,121,1680
2.35119047619,-0.64880952381,1050,3,0,+,target,3,1813,121,1680
6.35416666667,0.354166666667,1050,4,2,+,target,6,1669,121,1680
1.05654761905,-0.943452380952,1050,2,0,+,target,2,1405,121,1680
6.27976190476,0.279761904762,1050,5,1,+,target,6,973,121,1680
7.15773809524,0.157738095238,1050,7,0,-,target,7,1229,121,1680
1.53273809524,-1.46726190476,1050,7,4,-,filler,3,1933,121,1680
6.72619047619,-0.27380952381,1050,7,0,-,target,7,1789,121,1680
3.08035714286,-0.919642857143,1050,7,3,-,filler,4,1637,121,1680
6.54761904762,0.547619047619,1050,6,0,-,target,6,2509,121,1680
1.35416666667,-1.64583333333,1050,3,0,-,target,3,1397,121,1680
3.31845238095,-0.681547619048,1050,2,2,+,target,4,2901,121,1680
0.818452380952,-1.18154761905,1050,2,0,-,target,2,1037,121,1680
3.09523809524,-0.904761904762,1050,4,0,-,target,4,1501,121,1680
3.42261904762,-0.577380952381,1050,4,0,-,target,4,844,121,1680
3.08035714286,-0.919642857143,1050,8,4,-,filler,4,1181,121,1680
2.96130952381,-1.03869047619,1050,4,0,+,target,4,1118,121,1680
3.13988095238,-0.860119047619,1050,3,1,+,target,4,1037,121,1680
6.42857142857,0.428571428571,1050,3,3,+,filler,6,1517,121,1680
6.51785714286,0.517857142857,1050,3,3,+,filler,6,1325,121,1680
3.53422619048,0.534226190476,1050,3,0,-,target,3,1652,121,1680
3.69047619048,-0.309523809524,1050,3,1,+,target,4,1156,121,1680
7.38095238095,-0.619047619048,1050,3,5,+,filler,8,2325,121,1680
1.07886904762,0.078869047619,1050,6,5,-,filler,1,1493,121,1680
3.28869047619,-0.71130952381,1050,6,2,-,target,4,2388,121,1680
7.32142857143,0.321428571429,1050,7,0,+,target,7,2077,121,1680
3.27380952381,-0.72619047619,1050,2,2,+,target,4,2908,121,1680
0.714285714286,-0.285714285714,1050,5,4,-,filler,1,1517,121,1680
0.625,-0.375,1050,5,4,-,filler,1,957,121,1680
2.59672619048,-0.403273809524,1050,8,5,-,filler,3,3261,121,1680
3.08779761905,-0.912202380952,1050,6,2,-,target,4,1862,121,1680
6.04910714286,0.0491071428571,1050,6,0,+,target,6,1421,121,1680
6.27976190476,0.279761904762,1050,8,2,-,target,6,1821,121,1680
2.17261904762,-0.827380952381,1050,8,5,-,filler,3,3429,121,1680
9.04761904762,0.047619047619,1050,5,4,+,filler,9,1493,121,1680
7.75297619048,0.752976190476,1050,2,5,+,filler,7,2077,121,1680
6.04166666667,0.0416666666667,1050,4,2,+,target,6,1197,121,1680
1.5625,-0.4375,1050,2,0,+,target,2,1381,121,1680
1.11607142857,-0.883928571429,1050,6,4,-,filler,2,1621,121,1680
6.20535714286,0.205357142857,1050,6,0,+,target,6,1381,121,1680
6.29464285714,0.294642857143,1050,6,0,-,target,6,397,121,1680
8.92857142857,-0.0714285714286,1050,5,4,+,filler,9,2477,121,1680
1.42857142857,-2.57142857143,1050,2,2,+,target,4,1628,121,1680
8.74255952381,-0.25744047619,1050,4,5,+,filler,9,1413,121,1680
1.26488095238,-0.735119047619,1050,2,0,+,target,2,1228,121,1680
1.92708333333,-1.07291666667,1050,3,0,+,target,3,1476,121,1680
3.22916666667,-0.770833333333,1050,4,0,+,target,4,4973,121,1680
6.20535714286,0.205357142857,1050,5,1,+,target,6,1557,121,1680
3.32589285714,-0.674107142857,1050,8,4,-,filler,4,1589,121,1680
2.15773809524,-0.842261904762,1050,8,5,-,filler,3,2276,121,1680
8.00595238095,0.00595238095238,1050,8,0,-,target,8,2589,121,1680
3.11011904762,0.110119047619,1050,7,4,-,filler,3,1902,121,1680
1.43601190476,-0.563988095238,1050,7,5,-,filler,2,3053,121,1680
2.1130952381,-0.886904761905,1050,3,0,+,target,3,1877,121,1680
8.94345238095,-0.0565476190476,1050,5,4,+,filler,9,1573,121,1680
2.54464285714,-0.455357142857,1050,8,5,-,filler,3,2213,121,1680
8.31101190476,0.311011904762,1050,8,0,+,target,8,1436,121,1680
8.54166666667,0.541666666667,1050,4,4,+,filler,8,1325,121,1680
6.16071428571,0.160714285714,1050,2,4,+,filler,6,1901,121,1680
7.32142857143,0.321428571429,1050,2,5,+,filler,7,1325,121,1680
3.06547619048,-0.934523809524,1050,4,0,+,target,4,1421,121,1680
5.82589285714,-0.174107142857,1050,7,1,-,target,6,2101,121,1680
